Id	null	slow	med	fast	x	o	b	a	p	s1	s2	s3	s4	s5	s6	s7	sws	swd	bub	spw	ses	othl	gra	min	xyl	shr	gat	aff	pff	pre	par	othf	teg	gil	pls	spi	ves	aqpa	aqac	aepa	aeac	l1y	e1y	m1y	ly	my	ovo	fie	cie	fic	frc	vec	tec	ase	egg	coc	hou	did	non
57	0	3	2	1	0	1	3	0	0	0	3	0	0	0	0	0	0	0	1.7	6.7	0	1.7	10	0	0	0	0	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
58	0	3	2	1	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	7	0	0	0	3	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
59	0	3	3	3	0	2	3	0	0	0	3	0	0	0	0	0	0	0	0	8	0	2	10	0	0	0	0	0	0	0	0	0	1	3	3	0	0	2	1	0	2	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
60	3	1	0	0	0	1	3	1	0	0	2	3	0	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	9	0	1	1	3	0	3	0	0	2	0	3	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
61	3	1	0	0	0	1	3	1	0	0	2	3	0	0	0	0	3	3	0	3	0	1	0	0	0	0	0	0	0	10	0	0	1	3	0	3	0	0	2	0	3	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
62	3	1	0	0	0	1	3	1	0	0	2	3	0	0	0	0	0	6	1	0	0	3	0	0	0	0	0	0	0	10	0	0	1	3	0	3	0	0	2	0	3	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
63	3	2	2	1	0	1	3	0	0	0	2	2	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	10	0	0	1	3	0	3	0	2	2	0	3	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
64	3	2	2	1	0	1	3	0	0	0	2	2	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	10	0	0	1	3	0	3	0	2	2	0	3	0	3	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
65	1	3	1	0	0	2	3	0	0	0	3	0	0	0	0	0	0	4.3	0	4.3	0	1.4	6	0	0	0	2	0	0	2	0	0	3	0	0	3	0	2	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
66	1	3	1	0	0	2	3	0	0	0	3	0	0	0	0	0	0	4.3	0	4.3	0	1.4	6	0	0	0	2	0	0	2	0	0	3	0	0	3	0	2	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
67	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	5	0	5	0	0	3	5	0	0	0	0	0	2	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
68	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	5	0	5	0	0	3	0	0	0	0	0	0	7	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
69	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	5	0	5	0	0	3	4	0	0	0	0	0	3	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
70	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	2	0	6	0	2	0	0	0	0	0	0	0	0	0	10	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
71	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	5	0	5	0	0	7	0	0	0	0	0	0	3	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
72	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	5	0	5	0	0	5	0	0	0	0	0	0	5	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
73	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	2	0	6	0	2	3	0	0	0	0	0	0	7	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
74	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	2	0	6	0	2	5	3	0	0	0	0	0	2	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
75	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	5	0	5	0	0	0	4	0	2	0	0	0	4	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
76	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	2	0	6	0	2	0	0	0	0	0	0	0	0	0	10	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
77	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	5	0	5	0	0	4	3	0	0	0	0	0	3	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
78	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	2	0	6	0	2	8	0	0	0	0	0	0	2	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
79	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	4	0	5.3	0	0.7	6	1.3	0	0	0	0	0	2.7	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
80	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	2	0	6	0	2	2	0	0	0	0	0	0	8	0	0	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
81	3	2	1	0	0	1	3	1	0	0	3	0	0	0	0	0	0	2	0	6	0	2	0	0	0	0	0	0	0	0	0	10	3	0	0	3	0	1	1	0	3	0	1	3	1	3	0	0	0	0	0	3	0	0	0	0	0	0	3
82	3	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	5	0	5	0	0	3	3	0	0	1	0	0	3	0	0	2	3	0	3	0	0	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
83	3	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	4.3	0	4.3	0	1.4	0	0	0	0	0	0	0	0	0	10	2	3	0	3	0	0	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
84	3	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	4.3	0	4.3	0	1.4	0	0	0	0	0	0	0	0	0	10	2	3	0	3	0	0	1	0	3	0	1	3	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
85	1	2	3	2	0	1	3	2	0	0	3	0	0	0	0	0	0	0	0	5	5	0	10	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	1	0	3	0	3	1	1	3	0	0	0	0	0	0	3	0	0	0	0	0	3
86	1	2	3	2	0	1	3	2	0	0	3	0	0	0	0	0	0	0	0	5	5	0	5	0	0	1.5	2	0	1.5	0	0	0	0	0	3	2	0	2	1	0	3	0	3	1	1	3	0	0	0	0	0	0	3	0	0	0	0	0	3
87	1	2	3	2	0	1	3	2	0	0	3	0	0	0	0	0	0	0	0	5	5	0	4	0	0	4	2	0	0	0	0	0	0	0	3	2	0	2	1	0	3	0	3	1	1	3	0	0	0	0	0	0	3	0	0	0	0	0	3
88	3	1	0	0	0	3	6	1	0	0	3	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	1	0	3	0	3	1	1	3	0	0	0	0	0	0	3	0	0	0	0	0	3
89	3	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	10	0	0	0	5	0	0	5	0	0	0	0	0	0	1	0	1	3	0	0	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
90	3	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	10	0	0	0	3	0	0	2	3	0	0	2	0	0	1	0	1	3	0	0	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
91	3	0	0	0	0	0	2	3	0	0	1	3	0	0	0	0	0	0	5	5	0	0	3	0	0	1	3	0	0	3	0	0	1	0	1	3	0	0	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
92	3	0	0	0	0	0	2	3	0	0	1	3	0	0	0	0	0	0	3	2	0	5	0	0	0	0	0	0	0	10	0	0	1	0	1	3	0	0	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
93	3	0	0	0	0	0	1	2	0	0	2	3	0	0	0	0	0	0	5	5	0	0	3	0	0	1	3	0	0	3	0	0	1	0	1	3	0	0	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
94	3	0	0	0	0	0	1	2	0	0	2	3	0	0	0	0	0	0	5	5	0	0	3	0	0	0	2	0	0	5	0	0	1	0	1	3	0	0	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
95	3	0	0	0	0	0	1	2	0	0	2	3	0	0	0	0	0	0	5	5	0	0	0	0	0	5	5	0	0	0	0	0	1	0	1	3	0	0	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
96	3	0	0	0	0	0	1	2	0	0	2	3	0	0	0	0	0	4.3	0	4.3	0	1.4	0	0	0	0	0	0	0	10	0	0	1	0	1	3	0	0	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
97	3	0	0	0	0	0	1	2	0	0	0	3	1	0	0	0	0	4	0	1	0	5	3	0	0	0	3	0	0	4	0	0	1	0	1	3	0	0	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
98	3	0	0	0	0	0	1	3	0	0	0	0	0	2	3	0	0	3	0	5	0	2	0	0	0	0	0	0	0	10	0	0	1	0	2	3	0	0	1	0	3	0	3	1	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3
99	3	1	0	0	0	1	3	3	1	0	3	0	0	0	0	0	0	0	0	10	0	0	3	0	0	1	3	0	0	3	0	0	1	0	1	3	0	1	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
100	3	1	0	0	0	1	3	3	1	0	3	0	0	0	0	0	0	0	0	10	0	0	3	0	0	1	3	0	0	3	0	0	1	0	1	3	0	1	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
101	3	1	0	0	0	1	3	3	1	0	3	0	0	0	0	0	0	4.3	0	4.3	0	1.4	0	0	0	0	0	0	0	10	0	0	1	0	1	3	0	1	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
102	3	1	0	0	0	1	3	3	1	0	3	0	0	0	0	0	0	0	0	10	0	0	3	0	0	1	3	0	0	3	0	0	1	0	1	3	0	1	1	0	3	0	3	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	3
103	0	1	3	3	4	6	0	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	7.5	0	0	2.5	0	0	0	0	0	0	1	3	0	0	0	2	1	0	3	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3
104	3	0	0	0	0	0	2	7	1	0	3	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	3	0	0	1	0	3	0	3	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0
105	3	0	0	0	0	0	1	3	1	0	3	0	0	0	0	0	0	4.3	4.3	0	0	1.4	0	0	0	0	0	0	0	10	0	0	3	0	0	3	0	0	1	0	3	0	3	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	0
106	2	3	1	0	0	0	3	2	0	0	0	0	0	0	1	3	0	2	0	8	0	0	0	0	0	0	3	0	0	3	0	4	0	3	0	0	0	0	2	0	0	0	3	0	0	3	3	0	0	3	0	0	0	0	0	0	0	0	3
107	1	3	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	1	1	0	1	1	3	0	3	1	0	0	0	0	0	0	3	0	0	0	0	0	3
108	3	1.5	0.5	0	0	2	2	2	1	0	1.3	1.3	1.5	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	3	0	0	0	0.8	0.3	0	2	0	2	1.3	3	0	0	0	0.3	3	0	0	0	0	0.8	0	0	0	3
109	3	1	0	0	0	1	3	2	0	0	0	0	3	0	0	0	6	2	2	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	1	1	2	0	0	0	3	1	3	0	0	1	0	0	3	0	0	0	2	0	0	2	0
110	1.4	1.4	1.4	1.4	1.2	2.6	2.4	1.4	0.6	0	0.8	2.6	1.2	0.4	0	0	0	1	0	1	4	4	2	1	0	0	3	2	0	1	1	0	3	1	0	0	0	1.8	1	1.8	1	0	1.6	1.8	3	0	0.4	0	0	1.2	2.6	0	0.4	0	0	0	0	0.4	3
