ID,cond,granul,veg,mo
FOUR_Do_03_Su,341,0.63,0.2,0.11
FOUR_Do_04_Sp,414,0.56,0.3,0.11
FOUR_Do_07_Sp,390,0.65,0,0.5
FOUR_Do_07_Su,309,0.46,0,0.5
FOUR_Do_09_Sp,402,0.33,1,0.42
FOUR_Do_09_Su,390,0.64,1,0.42
FOUR_Do_11_Sp,391,0.56,1.3,1.3
FOUR_Do_11_Su,397,0.52,1.3,1.3
FOUR_Do_12_Sp,369,0.69,0.7,2.17
FOUR_Do_12_Su,392,0.67,0.3,2.17
FOUR_Do_13_Sp,372,0.74,0.2,0.58
FOUR_Do_13_Su,389,0.66,0.5,0.58
FOUR_Do_15_Sp,384,0.6,2,1.55
FOUR_Do_15_Su,418,0.45,2.7,1.55
FOUR_Do_16_Sp,454,0.41,2.7,0.83
FOUR_Do_16_Su,357,0.61,0.5,0.83
GRAN_Up_04_Su,531,0.51,1,3.72
GRAN_Up_05_Sp,543,0.29,0.7,3.72
GRAN_Up_08_Sp,579,0.36,3.3,0.93
GRAN_Up_08_Su,560,0.45,5,0.93
GRAN_Up_10_Sp,579,0.63,0.5,0.86
GRAN_Up_10_Su,523,0.63,1,0.86
GRAN_Up_12_Sp,537,0.47,2.7,1.49
GRAN_Up_12_Su,611,0.7,1.8,1.49
GRAN_Up_14_Sp,521,0.64,0.2,0.26
GRAN_Up_14_Su,538,0.71,1.3,0.26
GRAN_Up_16_Sp,582,0.61,1,0.05
GRAN_Up_16_Su,629,0.67,1.5,0.05
GRAN_Do_04_Su,262,0.54,4.7,6.11
GRAN_Do_05_Sp,524,0.27,1,6.11
GRAN_Do_08_Sp,484,0.52,2.3,0.25
GRAN_Do_08_Su,553,0.24,3.3,0.25
GRAN_Do_10_Sp,587,0.41,2,8.05
GRAN_Do_10_Su,431,0.64,2.7,8.05
GRAN_Do_12_Sp,584,0.7,0.3,1.51
GRAN_Do_12_Su,597,0.56,0.3,1.51
GRAN_Do_14_Sp,508,0.64,0.3,0.48
GRAN_Do_14_Su,497,0.55,1.7,0.48
GRAN_Do_16_Sp,540,0.65,1.2,7.33
GRAN_Do_16_Su,577,0.61,0.7,7.33
LUCE_Up_03_Su,269,0.62,0.3,4.2
LUCE_Up_04_Sp,239,0.45,0.7,4.2
LUCE_Up_07_Sp,348,0.59,0.2,0.13
LUCE_Up_07_Su,310,0.54,0.3,0.13
LUCE_Up_09_Sp,382,0.51,0,0.01
LUCE_Up_09_Su,302,0.59,0,0.01
LUCE_Up_11_Sp,344,0.55,0,0.01
LUCE_Up_11_Su,282,0.21,1.3,0.01
LUCE_Up_12_Sp,327,0.55,0.2,0.02
LUCE_Up_12_Su,284,0.43,0,0.02
LUCE_Up_13_Sp,375,0.49,0,0.03
LUCE_Up_13_Su,304,0.53,0,0.03
LUCE_Up_15_Sp,332,0.57,0.5,0.01
LUCE_Up_15_Su,277,0.54,0,0.01
LUCE_Up_16_Sp,340,0.49,0,0.05
LUCE_Up_16_Su,309,0.4,0,0.05
LUCE_Do_03_Su,273,0.5,0.3,1.2
LUCE_Do_04_Sp,253,0.52,0.2,1.2
LUCE_Do_07_Sp,353,0.43,0.8,1.9
LUCE_Do_07_Su,303,0.47,0,1.9
LUCE_Do_09_Sp,364,0.2,3,1.6
LUCE_Do_09_Su,303,0.5,0.3,1.6
LUCE_Do_11_Sp,342,0.43,0.5,3
LUCE_Do_11_Su,266,0.3,1.7,3
LUCE_Do_12_Sp,331,0.52,0.5,4.31
LUCE_Do_12_Su,286,0.59,0,4.31
LUCE_Do_13_Sp,374,0.48,0,4.5
LUCE_Do_13_Su,306,0.26,0,4.5
LUCE_Do_15_Sp,331,0.59,0.2,1.76
LUCE_Do_15_Su,276,0.51,0.3,1.76
LUCE_Do_16_Sp,340,0.55,1.8,1.29
LUCE_Do_16_Su,314,0.33,1.5,1.29
LUIS_Up_03_Su,385,0.51,1.8,1.38
LUIS_Up_04_Sp,371,0.59,0.5,1.38
LUIS_Up_07_Sp,532,0.54,0.3,0.29
LUIS_Up_07_Su,473,0.36,4,0.29
LUIS_Up_09_Sp,517,0.65,0.3,0.18
LUIS_Up_09_Su,490,0.64,0.2,0.18
LUIS_Up_11_Sp,493,0.55,0.5,0.18
LUIS_Up_11_Su,443,0.65,1.7,0.18
LUIS_Up_12_Sp,411,0.52,0,0.6
LUIS_Up_12_Su,392,0.67,0.3,0.6
LUIS_Up_13_Sp,433,0.64,0,1.02
LUIS_Up_13_Su,400,0.62,0.7,1.02
LUIS_Up_15_Sp,454,0.51,0.2,1.86
LUIS_Up_15_Su,436,0.67,0.2,1.86
LUIS_Up_16_Sp,469,0.7,0.3,1.14
LUIS_Up_16_Su,468,0.57,0.3,1.14
LUIS_UpN_07_Sp,452,0.56,1,0.14
LUIS_UpN_07_Su,428,0.53,1,0.14
LUIS_UpN_09_Sp,462,0.7,0.7,3.3
LUIS_UpN_09_Su,454,0.65,0.5,3.3
LUIS_UpN_11_Sp,448,0.56,1,2.3
LUIS_UpN_11_Su,434,0.54,1.7,2.3
LUIS_UpN_12_Sp,409,0.54,0,1.41
LUIS_UpN_12_Su,397,0.58,0.2,1.41
LUIS_UpN_13_Sp,420,0.58,0.3,1.02
LUIS_UpN_13_Su,402,0.68,0.2,1.02
LUIS_UpN_15_Sp,450,0.41,1.3,1.63
LUIS_UpN_15_Su,425,0.48,0.7,1.63
LUIS_UpN_16_Sp,456,0.51,1.7,1.45
LUIS_UpN_16_Su,446,0.62,0.7,1.45
LUIS_Do_03_Su,440,0.54,1,0.1
LUIS_Do_04_Sp,353,0.35,1.3,0.1
LUIS_Do_07_Sp,440,0.58,0,0.1
LUIS_Do_07_Su,406,0.57,0.2,0.1
LUIS_Do_09_Sp,433,0.7,0.2,0.3
LUIS_Do_09_Su,423,0.66,0,0.3
LUIS_Do_11_Sp,419,0.58,0.2,0.7
LUIS_Do_11_Su,331,0.67,0,0.7
LUIS_Do_12_Sp,396,0.58,0,1.02
LUIS_Do_12_Su,388,0.66,0.2,1.02
LUIS_Do_13_Sp,416,0.68,0,0.28
LUIS_Do_13_Su,396,0.56,0,0.28
LUIS_Do_15_Sp,424,0.66,0.8,0.03
LUIS_Do_15_Su,410,0.66,0.2,0.03
LUIS_Do_16_Sp,411,0.61,0,0.04
LUIS_Do_16_Su,433,0.35,0,0.04
MATH_Up_03_Su,426,0.2,1.2,2.36
MATH_Up_04_Sp,557,0.2,0.5,2.36
MATH_Up_08_Sp,363,0.4,0,0.1
MATH_Up_08_Su,309,0.5,0,0.1
MATH_Up_10_Sp,369,0.59,0.2,0.04
MATH_Up_10_Su,305,0.63,0,0.04
MATH_Up_12_Sp,323,0.63,0,0.07
MATH_Up_12_Su,299,0.52,0,0.07
MATH_Up_16_Sp,310,0.49,0,0.02
MATH_Up_16_Su,318,0.64,0,0.02
MATH_Do_03_Su,530,0.32,0.5,3.78
MATH_Do_04_Sp,562,0.41,0.2,3.78
MATH_Do_08_Sp,365,0.56,0,0.25
MATH_Do_08_Su,310,0.53,0,0.25
MATH_Do_10_Sp,370,0.69,0,0.16
MATH_Do_10_Su,306,0.5,0,0.16
MATH_Do_12_Sp,337,0.61,0,0.2
MATH_Do_12_Su,308,0.51,0.2,0.2
MATH_Do_16_Sp,312,0.62,0,0.24
MATH_Do_16_Su,315,0.56,0.3,0.24
MOIR_Up_03_Su,498,0.21,5,3.79
MOIR_Up_04_Sp,358,0.32,0.3,3.79
MOIR_Up_07_Sp,369,0.6,0.2,1.84
MOIR_Up_07_Su,343,0.55,0.2,1.84
MOIR_Up_09_Sp,358,0.57,0,2.3
MOIR_Up_09_Su,316,0.52,0.3,2.3
MOIR_Up_11_Sp,358,0.25,2,2.1
MOIR_Up_11_Su,396,0.59,0.5,2.1
MOIR_Up_12_Sp,348,0.66,0.2,1.89
